pid_l,pid_r
401516520220029,403290420220034
113173520220042,403170120220114
405192520190074,405192520190020
405120320180164,711071120184170
405096520190019,221053920190024
511050220200069,211090520200129
511051720170006,713151320170616
813210120190109,815650120190104
715010320180337,713104720181175
715131120150180,701192520150169
715150320200225,801071520200106
101540120160619,405112320160031
823100320190002,817130920190002
101412320180124,713104920180884
101540320150472,106092920150054
601010720220100,607150920220112
601051320160037,711071120162337
805171320160102,711071120162913
805171320150010,819121820150054
801151920220081,717031320220107
715010520170491,705012520170024
713031920200078,701292520200003
715150520160006,713013920162937
801110320210032,807070920210249
801151520180112,817031520180236
817071720220003,403172520220003
801270920150153,805151720150139
715131520160107,715020720160307
711071120184471,106091520180041
711080320181309,711080320181068
711030120172633,715030320170617
711030120182112,815111120180134
813250120190191,813250120190302
711070920161731,401195120160137
407031320170044,407031520170184
809051520170082,809130720170185
711071120190940,813130720190380
819070320190232,709090220190196
711034320190377,823111120190301
711071520170229,101413720170400
711071120174516,713051920170515
711011120160371,707080120160276
711071120180862,709130120180136
711070920172906,809092120170314
711053720180218,816091120180006
711080520192138,405172520190069
711072920170352,816111120170085
711071120193113,407091920190048
711071120184059,813091520180331
117132120190198,103131520190193
819030720180108,707121020180146
819030920180358,821032320180164
819091320180248,711080320180768
813191320200065,813191820200030
713071120180194,823100920180119
713015420201496,403234920200288
713012720171048,605030320170491
713150120190734,823030320190208
713171520160100,813111720160117
713152920180173,717030220180229
713012720160783,715132220160042
503110720170271,701392320170527
503173620180008,809030920180009
803152120170161,803152120170044
803220120200046,805111720200411
803051720220032,711072120220252
803090320200043,815072120200094
803131920210074,715030320210168
803171720160156,815011520170026
803010120200117,805151320200082
603172420200010,711080320200569
709010920220021,823090720220048
709030320200191,103131920200182
709090120210153,605151920210147
709110120170237,817030420170141
111030120180062,101053520180085
215111520150027,701211320150260
401272320190245,606211620190186
801210120170076,809011520170202
113011320170016,101530120170723
403010720150298,717090120150420
403293320150095,111030320150147
815050720210069,605170720210017
815152120160137,709151320160122
815650320170185,403253720170307
815651220160011,817031120160145
815072320170161,607030920170363
815053720160156,819082520160265
113074520210047,117133720210013
605090320170063,511010520170064
107171920180126,109112520180099
405192120190073,715132220190126
405172320160005,601010120160410
405050320210126,109073920210062
411031520180111,605240920180703
401491720180092,713170120180779
807172720180084,819112520180003
401511120170073,401153320170028
401516120150156,701130920150139
711072120171812,711050520171251
401290520150077,101141520150390
813030720150005,805171820150057
816071520170322,711030120171874
113012520160188,101073320160722
403374120170100,817031120170349
501030520200165,816031120200081
501090420160889,503150320160013
501090420160889,503231120160085
501130920150411,809031120150097
501130920150411,809031120150001
605190520160234,713171520160097
605071520190140,605070519190001
605071120190249,605071120190287
605071120190249,707020920190130
605151520190054,713015420190681
605190720170089,807092120170067
509052020180099,817150720180205
403295320210050,701353120210067
823012720200221,717122420200008
805011920210006,815010920210086
805090920190080,805090920190018
805172520150196,813151120150264
805111320170418,711071120173283
805130320190159,815092820190218
805171820170285,701351120170017
717122320160254,505232320160019
813190120190214,607190920200102
713170120180779,401491320180024
713170120180779,401491720180092
701171520180328,701171920180633
607011720180261,411073120180263
607110420150050,1011549201518502
607152320200057,823110320200260
607151520180340,715021120180276
717012020210075,107093120210041
305011120170164,101151320170284
106075320170296,401350720170155
816120520180141,816120520180101
816020120180011,711041720180018
816091120160228,713015520161280
816111920180193,811150520180052
816010820150087,815090120150077
816030720170126,815031320170029
816031220170181,805151720170064
101131120200572,107013920200385
101081120210109,401378220210094
411011320160150,605191720160113
411050920200119,205010520200441
403230520200090,403314520200033
103032320190398,115012120190499
103211320190194,819091320190591
807131520220064,503250320220088
807130520190121,711012120190077
701270120170214,701270320170328
701170120160421,807190520160054
701170120160421,605012720160361
701284020170819,511024520170128
701030520210003,705070120210021
701351520170760,606270320170232
701392720150399,819070320150063
606321020150333,701350920150371
817130120160047,711072120162210
817050420160039,709111720160029
817111120180182,819010720180368
817150920170278,711053720171436
817070720170258,711080320171578
817030520200155,401353320200048
701402020160734,807171320160132
701271920150516,801153520150072
711030120161244,805071120160057
711041120220042,405194320220016
711100620200045,819081920200011
713101920200242,403230320200121
403255720220059,503230120220042
403255720220059,403236920220045
403254320200091,117011920200172
403178120210072,819031920210188
403173920220100,511010920220077
403257720220067,106011520220128
403172120220014,816070220220005
403296320220090,101151320220086
403232720220053,107113520220037
403173520220058,407141220220025
403141520220023,505054320220077
403296120220117,103213320220075
403175920220072,407010520220116
606290320150149,605013520150342
606321120150229,801250320150138
606290920170022,607152520170017
807130720180151,819031720180087
701072720160256,809112720160124
809090920220011,717122320220051
809051120150080,813041120150118
809110320210147,409113720210136
809091520220062,605050120220125
809080320150161,815111120150169
809012120200037,803030920200024
809132520150018,701392520150964
809133720220032,505212120220063
809093120220064,801272920220057
809073120220061,713013920220515
809131920200151,807091520200151
104032320180132,305010920180168
701252720170731,701252720170711
701212720160117,607010720160425
701331520170915,403274020170136
701402220150732,805210120150210
101413520190017,607112720190009
107230720220032,403135320220026
103052320210003,109012320210002
103051320190276,809051120190050
805171920180356,805150920180391
711034120170043,803210520170246
711034320150251,709091520150145
711070720191839,813070320190415
711011620180089,813010720180392
711070120170148,701371120170125
711100520190062,823131520190044
711034520210772,823100520210219
711054920210067,819111320210182
711070920220051,805170320220099
711071120182429,405113520180043
711010320200046,707050120200056
813010720150360,109064920150046
813011320170203,713091420170518
813110320170030,711034920170214
813010720170010,701401620170248
813071220160012,711030120162029
813170320180424,805191920180101
813151520170437,816111520170214
813071620170005,701402420170084
711034720180987,813051420180422
711070920173388,805151120170314
707020620160187,813040120160299
813111120170284,711052920170250
813211120180456,805111120180196
813211120170601,813210320170037
813170320170347,711054920171001
813040120160299,707020620160187
813300520170117,711070920173941
813300520170117,813300320170143
813300520170117,805170720170213
813300520170117,805011120170279
813210120170626,815153520170027
815014120172037,815014120172034
607031920180391,607031920180370
707120420190001,823071920190002
707111320160115,701152320160188
115050520180238,409110320180116
403230920190477,113072920190137
403294720200091,819120520200287
606210520170043,711030120170211
403172120200036,709030720200013
403172120200036,511030120200022
403172120200036,403013520200034
403172120200036,403231520200011
403331920210137,819030720210174
403177520220062,104101520220040
403177920220093,104091920220059
606340120150029,606340320150035
606340120150029,605192720150007
606110120220077,701130720220110
606292320150077,701351520150281
606291320190107,605070120190187
606110320220062,701230120220206
606332120190039,713013920192120
606271120150055,701190120150025
606291720160072,713012720160427
606271320180194,606331920180136
713011520210104,505151720210168
713091920210191,405130120210175
713014120160186,701010720160285
713011720170265,817030520170189
713013920192415,813112320190194
713071320170128,803210120170073
407031720180091,601150320180066
407135120190086,709030520190028
713070720190709,603012320190180
713122320180180,717090320180269
805111320200198,813110120200321
805111520200238,813090720200315
717050120160282,705070720160124
809130120170093,809130120170138
